;name;party;date;color
http://ldf.fi/semparl/people/p925;Pakkanen, Markku;Suomen Keskusta;2007-03-21;#01954B
http://ldf.fi/semparl/people/p170;Kanerva, Ilkka;Kansallinen Kokoomus;1975-09-27;#00587C
http://ldf.fi/semparl/people/p947;Orpo, Petteri;Kansallinen Kokoomus;2007-03-21;#00587C
http://ldf.fi/semparl/people/p1282;Rydman, Wille;Kansallinen Kokoomus;2015-04-22;#00587C
http://ldf.fi/semparl/people/p582;Leppä, Jari;Suomen Keskusta;1999-03-24;#01954B
http://ldf.fi/semparl/people/p1303;Parviainen, Ulla;Suomen Keskusta;2015-04-22;#01954B
http://ldf.fi/semparl/people/p127;Anttila, Sirkka-Liisa;Suomen Keskusta;1983-03-26;#01954B
http://ldf.fi/semparl/people/p1323;Talvitie, Mari-Leena;Kansallinen Kokoomus;2015-04-22;#00587C
http://ldf.fi/semparl/people/p1318;Strand, Joakim;Suomen ruotsalainen kansanpuolue;2015-04-22;#EFCB65
http://ldf.fi/semparl/people/p1333;Huhtasaari, Laura;Perussuomalaiset;2015-04-22;#FFDE55
http://ldf.fi/semparl/people/p1124;Jalonen, Ari;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p920;Ruohonen-Lerner, Pirkko;Perussuomalaiset;2007-03-21;#FFDE55
http://ldf.fi/semparl/people/p609;Wallin, Harry;Suomen Sosialidemokraattinen Puolue;1999-03-24;#E11931
http://ldf.fi/semparl/people/p1307;Raassina, Sari;Kansallinen Kokoomus;2015-04-22;#00587C
http://ldf.fi/semparl/people/p913;Viljanen, Eerikki;Suomen Keskusta;2015-04-22;#01954B
http://ldf.fi/semparl/people/p507;Uotila, Kari;Vasemmistoliitto;1995-03-24;#BF1E24
http://ldf.fi/semparl/people/p962;Vehkaperä, Mirja;Suomen Keskusta;2007-03-21;#01954B
http://ldf.fi/semparl/people/p1154;Myllykoski, Jari;Vasemmistoliitto;2011-04-20;#BF1E24
http://ldf.fi/semparl/people/p926;Guzenina, Maria;Suomen Sosialidemokraattinen Puolue;2007-03-21;#E11931
http://ldf.fi/semparl/people/p1091;Mölsä, Martti;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p767;Soini, Timo;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p242;Puska, Pekka;Suomen Keskusta;1987-03-21;#01954B
http://ldf.fi/semparl/people/p1097;Pekonen, Aino-Kaisa;Vasemmistoliitto;2011-04-20;#BF1E24
http://ldf.fi/semparl/people/p1314;Savio, Sami;Perussuomalaiset;2015-04-22;#FFDE55
http://ldf.fi/semparl/people/p856;Niinistö, Jussi;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p1378;Torsti, Pilvi;Suomen Sosialidemokraattinen Puolue;2017-06-09;#E11931
http://ldf.fi/semparl/people/p1300;Mykkänen, Kai;Kansallinen Kokoomus;2015-04-22;#00587C
http://ldf.fi/semparl/people/p1136;Vähämäki, Ville;Perussuomalaiset;2011-04-20;#FFDE55
http://ldf.fi/semparl/people/p959;Korhonen, Timo V.;Suomen Keskusta;2007-03-21;#01954B
http://ldf.fi/semparl/people/p1157;Saarikko, Annika;Suomen Keskusta;2011-04-20;#01954B
http://ldf.fi/semparl/people/p116;Gustafsson, Jukka;Suomen Sosialidemokraattinen Puolue;1987-03-21;#E11931
http://ldf.fi/semparl/people/p1343;Laukkanen, Antero;Suomen Kristillisdemokraatit;2015-04-22;#18359B
http://ldf.fi/semparl/people/p1338;Kosonen, Hanna;Suomen Keskusta;2015-04-22;#01954B
http://ldf.fi/semparl/people/p1106;Savola, Mikko;Suomen Keskusta;2011-04-20;#01954B
http://ldf.fi/semparl/people/p1342;Laitinen-Pesola, Jaana;Kansallinen Kokoomus;2015-04-22;#00587C
